46w2ygq6, Mindseeker,JPN / NTSC
m1zjpy26,2014 Fifa World Cup Brazil,BRA / PAL
o1yjqe41,2020 Game,USA / NTSC
9do57m1p,2064: Read Only Memories,USA / NTSC
76r34k46,24: The Game,USA / NTSC
76r34k46,24: The Game,EUR / PAL
pdv5o46w,25 To Life,USA / NTSC
3dx27j41,2D Zelda Games,USA / NTSC
3dx27j41,2D Zelda Games,JPN / NTSC
pdvzymr6,2weistein,USA / NTSC
pdvzymr6,2weistein,EUR / PAL
46w8736r,3 Foot Ninja,USA / NTSC
46w8736r,3 Foot Ninja,EUR / PAL
46w8736r,3 Foot Ninja,JPN / NTSC
46w8736r,3 Foot Ninja,CHN / PAL
46w8736r,3 Foot Ninja,KOR / NTSC
pd0wpl31,3 in 1 Supergun,USA / NTSC
pd0wpl31,3 in 1 Supergun,EUR / PAL
pd0wpl31,3 in 1 Supergun,JPN / NTSC
pd0wpl31,3 in 1 Supergun,CHN / PAL
pd0wpl31,3 in 1 Supergun,BRA / PAL
yd4oxyp1,3 Islands of Shells,USA / NTSC
369w20dl,3 Ninjas Kick Back,USA / NTSC
76rxwje6,3-D Dinosaur Adventure,USA / NTSC
3dx2wyv1,3-D Ultra Radio Control Racers,USA / NTSC
3dx2wyv1,3-D Ultra Radio Control Racers,EUR / PAL
m1z44060,3-D WorldRunner,USA / NTSC
m1z44060,3-D WorldRunner,JPN / NTSC
4d7n93n6,300: March to Glory ,USA / NTSC
4d7n93n6,300: March to Glory ,EUR / PAL
4d79z731,3AM At The Krusty Krab,USA / NTSC
4d79z731,3AM At The Krusty Krab,EUR / PAL
4d79z731,3AM At The Krusty Krab,BRA / PAL
lde3knx6,3D Body Adventure,USA / NTSC
76r3z468,3D Dot Game Heroes,USA / NTSC
76r3z468,3D Dot Game Heroes,EUR / PAL
76r3z468,3D Dot Game Heroes,JPN / NTSC
3698weld,3D Maze Escape,USA / NTSC
3698weld,3D Maze Escape,EUR / PAL
pd0mz26e,3D Pinball for Windows: Space Cadet,USA / NTSC
pd0mz26e,3D Pinball for Windows: Space Cadet,EUR / PAL
pd0mz26e,3D Pinball for Windows: Space Cadet,JPN / NTSC
pd0mz26e,3D Pinball for Windows: Space Cadet,CHN / PAL
pd0mz26e,3D Pinball for Windows: Space Cadet,KOR / NTSC
m1zjnz36,3D Retro Dungeon Puzzle Challenge,USA / NTSC
y659e31e,3D Tetris,USA / NTSC
k6q40o9d,3D Ultra NASCAR Pinball,USA / NTSC
yd4oxxg1,4 YUMPs For Yoshi,USA / NTSC
9do2g31p,4-in-1 Fun Pak,USA / NTSC
9do2g31p,4-in-1 Fun Pak,EUR / PAL
9do2g31p,4-in-1 Fun Pak,JPN / NTSC
46wo3q1r,40 Winks,USA / NTSC
46wo3q1r,40 Winks,EUR / PAL
o1y95kr6,400 Years,USA / NTSC
ldekmld3,404Sight,USA / NTSC
9d3v7y6l,46 Okunen Monogatari: The Shinkaron,USA / NTSC
9d3v7y6l,46 Okunen Monogatari: The Shinkaron,JPN / NTSC
m1mx7wj6,4PM,USA / NTSC
9d3rxrwd,4x4 EVO 2,USA / NTSC
9d3rxrwd,4x4 EVO 2,EUR / PAL
pdvzjpo6,4XM,USA / NTSC
pdvzjpo6,4XM,EUR / PAL
pdvzjpo6,4XM,JPN / NTSC
3dxmm56y,50 Cent: Bulletproof,USA / NTSC
yd4o7851,50 Cent: Bulletproof - G Unit Edition,USA / NTSC
yd4o7851,50 Cent: Bulletproof - G Unit Edition,EUR / PAL
nd2vpq10,60 Seconds to Save the Queen,USA / NTSC
nd2vpq10,60 Seconds to Save the Queen,EUR / PAL
nd2vpq10,60 Seconds to Save the Queen,JPN / NTSC
nd2vpq10,60 Seconds to Save the Queen,CHN / PAL
nd2vpq10,60 Seconds to Save the Queen,KOR / NTSC
nd2vpq10,60 Seconds to Save the Queen,BRA / PAL
w6j7vxe6,64dehakken!!tamagotchi minnade tamagotchi world,JPN / NTSC
46w39391,64th Street: A Detective Story,JPN / NTSC
4d79m9n1,6AM at The Chum Bucket,USA / NTSC
4d79m9n1,6AM at The Chum Bucket,EUR / PAL
4d79m9n1,6AM at The Chum Bucket,BRA / PAL
m1mg2x12,720°,USA / NTSC
76r3wgq6,7: Molmorth no Kiheitai,JPN / NTSC
w6jl3q4d,7th Dragon,JPN / NTSC
lde3pwe6,7th Dragon 2020,JPN / NTSC
9d38je1l,8 Eyes,USA / NTSC
9d38je1l,8 Eyes,JPN / NTSC
o1y973o6,8 Trials Await,USA / NTSC
j1llymv1,88 Heroes / 88 Heroes 98 Heroes Edition,USA / NTSC
k6qxm91g,88 Madness,USA / NTSC
j1lqg76g,"9 Hours, 9 Persons, 9 Doors",USA / NTSC
j1lqg76g,"9 Hours, 9 Persons, 9 Doors",JPN / NTSC
w6j77m56,99 Spirits,USA / NTSC
w6j77m56,99 Spirits,JPN / NTSC
pdvz8wo6,9MM,USA / NTSC
o1ylr26q,>OBSERVER_,USA / NTSC
kdk7k21m,A Bird Story,USA / NTSC
kdk7k21m,A Bird Story,EUR / PAL
kdk7k21m,A Bird Story,JPN / NTSC
kdk7k21m,A Bird Story,CHN / PAL
kdk7k21m,A Bird Story,KOR / NTSC
ldewnxd3,A Boy and His Blob (2009),USA / NTSC
ldewnxd3,A Boy and His Blob (2009),EUR / PAL
y65re01e,A Bug's Life,USA / NTSC
y65re01e,A Bug's Life,EUR / PAL
y65re01e,A Bug's Life,JPN / NTSC
9dowxr31,A Bug's Life (GBC),USA / NTSC
9dowxr31,A Bug's Life (GBC),EUR / PAL
pdvzv2r6,A Day In The Future,USA / NTSC
4d797j31,A Day in the Life,EUR / PAL
m1mn3ppd,A Halloween Walk,USA / NTSC
v1po8qz6,A Lenda do Herói (Songs for a Hero),USA / NTSC
m1zjyk06,A Link To The Past Category Extensions,USA / NTSC
m1zjyk06,A Link To The Past Category Extensions,EUR / PAL
m1zjyk06,A Link To The Past Category Extensions,JPN / NTSC
w6jlpr5d,A Little World,JPN / NTSC
pd0wwg21,A Mini Falafel Adventure,USA / NTSC
j1ll0qe1,A Monster's Expedition,USA / NTSC
j1ll0qe1,A Monster's Expedition,EUR / PAL
j1ll0qe1,A Monster's Expedition,JPN / NTSC
j1ll0qe1,A Monster's Expedition,CHN / PAL
j1ll0qe1,A Monster's Expedition,KOR / NTSC
j1ll0qe1,A Monster's Expedition,BRA / PAL
9do4p36p,A Nightmare on Elm Street,USA / NTSC
o1y9vvv6,A ninja in training,USA / NTSC
o1y9vvv6,A ninja in training,EUR / PAL
o1y9vvv6,A ninja in training,JPN / NTSC
v1po8976,A Plumber to the Past,USA / NTSC
v1po8976,A Plumber to the Past,EUR / PAL
v1po8976,A Plumber to the Past,JPN / NTSC
nd2erjed,A Pure Vanilla Hack,USA / NTSC
y6544k0d,A Rose in the Twilight,USA / NTSC
y6544k0d,A Rose in the Twilight,EUR / PAL
y6544k0d,A Rose in the Twilight,JPN / NTSC
y6544k0d,A Rose in the Twilight,CHN / PAL
j1nep4e1,A Simple Game,USA / NTSC
lde3oje6,A Slower Speed of Light,USA / NTSC
kdkz5nxd,A Township Tale,USA / NTSC
kdkz5nxd,A Township Tale,EUR / PAL
o6gl3jnd,A Very Super Mario World,USA / NTSC
nd2e7m5d,A Way Out,USA / NTSC
nd2e7m5d,A Way Out,EUR / PAL
nd2e7m5d,A Way Out,JPN / NTSC
yd4pl5de,A Week of Garfield,JPN / NTSC
76rerld8,A.R.E.S.: Extinction Agenda,USA / NTSC
76rerld8,A.R.E.S.: Extinction Agenda,EUR / PAL
76rerld8,A.R.E.S.: Extinction Agenda,JPN / NTSC
j1lrmz1g,A.R.E.S.: Extinction Agenda EX,USA / NTSC
j1lrmz1g,A.R.E.S.: Extinction Agenda EX,EUR / PAL
j1lrmz1g,A.R.E.S.: Extinction Agenda EX,JPN / NTSC
369pmk31,A.S.P.: Air Strike Patrol,USA / NTSC
w6j0x5dj,Aaahh!!! Real Monsters,USA / NTSC
j1l8l76g,Aaru's Awakening,USA / NTSC
j1l8l76g,Aaru's Awakening,EUR / PAL
j1l8l76g,Aaru's Awakening,JPN / NTSC
ldeml513,Abadox,USA / NTSC
ldeml513,Abadox,JPN / NTSC
j1nejqw1,Abala Burn,JPN / NTSC
46w5ll6r,Aban Hawkins & the 1000 SPIKES,USA / NTSC
o6gl3q5d,Abmis The Lion,EUR / PAL
nd2ep9rd,Academy of Champions: Soccer,USA / NTSC
nd2ep9rd,Academy of Champions: Soccer,EUR / PAL
pdvzwvv6,acai cOrner,USA / NTSC
v1pol846,Acceleration of SUGURI 2,USA / NTSC
v1pol846,Acceleration of SUGURI 2,JPN / NTSC
3dxyqv6y,Ace Attorney Investigations: Miles Edgeworth,USA / NTSC
3dxyqv6y,Ace Attorney Investigations: Miles Edgeworth,EUR / PAL
3dxyqv6y,Ace Attorney Investigations: Miles Edgeworth,JPN / NTSC
m1zn5010,Ace Combat 2,USA / NTSC
m1zn5010,Ace Combat 2,EUR / PAL
m1zn5010,Ace Combat 2,JPN / NTSC
j1l8oz6g,Ace Combat 3 : Electrosphere,USA / NTSC
j1l8oz6g,Ace Combat 3 : Electrosphere,EUR / PAL
j1l8oz6g,Ace Combat 3 : Electrosphere,JPN / NTSC
o6gxp9d2,Ace Combat 5: The Unsung War,USA / NTSC
o6gxp9d2,Ace Combat 5: The Unsung War,EUR / PAL
o6gxp9d2,Ace Combat 5: The Unsung War,JPN / NTSC
v1p2p7d8,Ace Combat 6: Fires of Liberation,USA / NTSC
v1p2p7d8,Ace Combat 6: Fires of Liberation,EUR / PAL
v1p2p7d8,Ace Combat 6: Fires of Liberation,JPN / NTSC
3dx2ll51,Ace Combat 7: Skies Unknown,USA / NTSC
3dx2ll51,Ace Combat 7: Skies Unknown,EUR / PAL
3dx2ll51,Ace Combat 7: Skies Unknown,JPN / NTSC
v1pv3p18,Ace Combat X: Skies of Deception,USA / NTSC
v1pv3p18,Ace Combat X: Skies of Deception,EUR / PAL
v1pv3p18,Ace Combat X: Skies of Deception,JPN / NTSC
46wymqdr,Ace Combat Zero: The Belkan War,USA / NTSC
46wymqdr,Ace Combat Zero: The Belkan War,EUR / PAL
46wymqdr,Ace Combat Zero: The Belkan War,JPN / NTSC
ldeoze63,Ace Combat: Assault Horizon,USA / NTSC
ldeoze63,Ace Combat: Assault Horizon,EUR / PAL
ldeoze63,Ace Combat: Assault Horizon,JPN / NTSC
268e5v96,Ace Combat: Assault Horizon Legacy,USA / NTSC
268e5v96,Ace Combat: Assault Horizon Legacy,EUR / PAL
268e5v96,Ace Combat: Assault Horizon Legacy,JPN / NTSC
m1mxkgk6,Ace Mathician,USA / NTSC
m1mxkgk6,Ace Mathician,EUR / PAL
9d3r03wd,Aconcagua,JPN / NTSC
4d797gr1,Act Of War: High Treason,USA / NTSC
4d797gr1,Act Of War: High Treason,EUR / PAL
w6j8571j,Action 2: Urban Brawl,USA / NTSC
j1l0vz1g,Action 52 (Genesis),USA / NTSC
3694e21l,Action 52 (NES),USA / NTSC
m1m8njd2,Action Girlz Racing,USA / NTSC
m1m8njd2,Action Girlz Racing,EUR / PAL
yd45yg6e,Action Henk,USA / NTSC
yd45yg6e,Action Henk,EUR / PAL
lde30gx6,Action Henk ILs,USA / NTSC
lde30gx6,Action Henk ILs,EUR / PAL
o6gl4o8d,Action Man: Destruction X,EUR / PAL
pd0w7nl1,Action Man: Search for Base X,USA / NTSC
m1mlp362,Active Life: Outdoor Challenge,USA / NTSC
m1mlp362,Active Life: Outdoor Challenge,EUR / PAL
m1mlp362,Active Life: Outdoor Challenge,JPN / NTSC
pdv9ro1w,ActRaiser,USA / NTSC
pdv9ro1w,ActRaiser,EUR / PAL
pdv9ro1w,ActRaiser,JPN / NTSC
m1zy5z60,ActRaiser 2,USA / NTSC
m1zy5z60,ActRaiser 2,EUR / PAL
m1zy5z60,ActRaiser 2,JPN / NTSC
pd0z4l1e,Addams Family Values,USA / NTSC
pd0z4l1e,Addams Family Values,EUR / PAL
j1nqj91p,Adiboo and the Energy Thieves,EUR / PAL
m1zwn310,Adiboo and the Green Shadow,EUR / PAL
m1zkn8m1,Adibou and the Green Shadow,EUR / PAL
pd0wm721,Adibou: Je joue avec les lettres et les nombres,EUR / PAL
268emj96,Advance Guardian Heroes,USA / NTSC
268emj96,Advance Guardian Heroes,JPN / NTSC
o6gxjnd2,Advance Wars,USA / NTSC
o6gxjnd2,Advance Wars,EUR / PAL
o6gxjnd2,Advance Wars,JPN / NTSC
3694ll1l,Advance Wars 2: Black Hole Rising,USA / NTSC
3694ll1l,Advance Wars 2: Black Hole Rising,EUR / PAL
3694ll1l,Advance Wars 2: Black Hole Rising,JPN / NTSC
4d70ln17,Advance Wars: Days of Ruin/Dark Conflict,USA / NTSC
4d70ln17,Advance Wars: Days of Ruin/Dark Conflict,EUR / PAL
4d70ln17,Advance Wars: Days of Ruin/Dark Conflict,JPN / NTSC
j1llqj1g,Advance Wars: Dual Strike,USA / NTSC
j1llp441,Advanced Dungeons & Dragons: Champions of Krynn,USA / NTSC
w6j3p4dj,Advanced Dungeons & Dragons: Cloudy Mountain,USA / NTSC
w6j3p4dj,Advanced Dungeons & Dragons: Cloudy Mountain,EUR / PAL
76rxxwv6,Advanced Dungeons & Dragons: Dragons of Flame,JPN / NTSC
k6qpjmdg,Advanced Dungeons & Dragons: Heroes of the Lance,USA / NTSC
k6qpjmdg,Advanced Dungeons & Dragons: Heroes of the Lance,JPN / NTSC
m1mwjxd2,Advanced Dungeons & Dragons: Hillsfar,USA / NTSC
m1mwjxd2,Advanced Dungeons & Dragons: Hillsfar,JPN / NTSC
w6jlv8ed,Advanced Dungeons & Dragons: Pool of Radiance,USA / NTSC
w6jljy5d,Advanced Dungeons & Dragons: Pool of Radiance (NES),USA / NTSC
y6544p8d,Advanced Dungeons & Dragons: Treasure of Tarmin,USA / NTSC
y6544p8d,Advanced Dungeons & Dragons: Treasure of Tarmin,EUR / PAL
y654x33d,Advanced Dungeons and Dragons: Death Knights of Krynn,USA / NTSC
y654x33d,Advanced Dungeons and Dragons: Death Knights of Krynn,JPN / NTSC
nd28r2vd,Advanced Shells,USA / NTSC
y65koe6e,Advanced V.G. 2,JPN / NTSC
76rxmkv6,Advanced V.G. PC Engine,JPN / NTSC
y650o71e,Advent Rising,USA / NTSC
y650o71e,Advent Rising,EUR / PAL
kdkmq3l1,Adventure Climb VR,USA / NTSC
kdkmq3l1,Adventure Climb VR,EUR / PAL
268g35dp,Adventure Forward: Star Savior,EUR / PAL
pd0gvl6e,Adventure Island (GB),USA / NTSC
pd0gvl6e,Adventure Island (GB),EUR / PAL
pd0gvl6e,Adventure Island (GB),JPN / NTSC
lde3qe63,Adventure Island 3,USA / NTSC
lde3qe63,Adventure Island 3,JPN / NTSC
j1newx1p,Adventure Island II,USA / NTSC
j1newx1p,Adventure Island II,JPN / NTSC
369qx2dl,Adventure Island II: Aliens in Paradise,USA / NTSC
369qx2dl,Adventure Island II: Aliens in Paradise,EUR / PAL
369qx2dl,Adventure Island II: Aliens in Paradise,JPN / NTSC
w6j7om26,Adventure on Bun Island,USA / NTSC
k6q33m1g,Adventure Quest Worlds,USA / NTSC
k6q33m1g,Adventure Quest Worlds,EUR / PAL
k6q33m1g,Adventure Quest Worlds,JPN / NTSC
k6q33m1g,Adventure Quest Worlds,CHN / PAL
k6q33m1g,Adventure Quest Worlds,KOR / NTSC
k6q33m1g,Adventure Quest Worlds,BRA / PAL
m1mxmex6,Adventure Time: Explore the Dungeon Because I Don't Know!,USA / NTSC
m1mxmex6,Adventure Time: Explore the Dungeon Because I Don't Know!,EUR / PAL
m1zwy310,Adventure Time: Finn & Jake Investigations,USA / NTSC
m1zwy310,Adventure Time: Finn & Jake Investigations,EUR / PAL
m1zmnx60,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,USA / NTSC
m1zmnx60,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,EUR / PAL
w6jrgedj,Adventure Time: The Secret of the Nameless Kingdom,USA / NTSC
w6jrgedj,Adventure Time: The Secret of the Nameless Kingdom,EUR / PAL
o1y9jv6q,Adventures in the Magic Kingdom,USA / NTSC
o1y9jv6q,Adventures in the Magic Kingdom,EUR / PAL
y65jqede,Adventures of Dino Riki,USA / NTSC
y65jqede,Adventures of Dino Riki,JPN / NTSC
4d7xxr17,Adventures of Lolo,USA / NTSC
4d7xxr17,Adventures of Lolo,EUR / PAL
k6q9wx1g,Adventures of Lolo (GB),EUR / PAL
k6q9wx1g,Adventures of Lolo (GB),JPN / NTSC
9d3ww01l,Adventures of Lolo 2,USA / NTSC
9d3ww01l,Adventures of Lolo 2,EUR / PAL
9d3ww01l,Adventures of Lolo 2,JPN / NTSC
yd4rok1e,Adventures of Lolo 3,USA / NTSC
yd4rok1e,Adventures of Lolo 3,EUR / PAL
yd4rok1e,Adventures of Lolo 3,JPN / NTSC
nd28krvd,Adventures of Pinocchio,USA / NTSC
nd28krvd,Adventures of Pinocchio,EUR / PAL
nd28krvd,Adventures of Pinocchio,JPN / NTSC
nd28krvd,Adventures of Pinocchio,CHN / PAL
nd28krvd,Adventures of Pinocchio,KOR / NTSC
nd28krvd,Adventures of Pinocchio,BRA / PAL
y654xx7d,Aefen Fall,USA / NTSC
y654xx7d,Aefen Fall,EUR / PAL
y654xx7d,Aefen Fall,JPN / NTSC
y654xx7d,Aefen Fall,CHN / PAL
y654xx7d,Aefen Fall,KOR / NTSC
y654xx7d,Aefen Fall,BRA / PAL
268e9jo6,Aerannis,USA / NTSC
m1mz7xd2,Aero Fighters,USA / NTSC
m1mz7xd2,Aero Fighters,JPN / NTSC
k6qw9q06,Aero Fighters 2,USA / NTSC
ldejz9l1,Aero Fighters 3,USA / NTSC
o6gnlmx1,Aero Fighters Assault,USA / NTSC
o6gnlmx1,Aero Fighters Assault,EUR / PAL
o6gnlmx1,Aero Fighters Assault,JPN / NTSC
pd0n4v1e,Aero the Acro-Bat,USA / NTSC
pd0n4v1e,Aero the Acro-Bat,EUR / PAL
pd0n4v1e,Aero the Acro-Bat,JPN / NTSC
369w50dl,Aero the Acro-Bat 2,USA / NTSC
369w50dl,Aero the Acro-Bat 2,EUR / PAL
9doqk31p,Aerobiz,USA / NTSC
m1zryzd0,Aerobiz Supersonic,USA / NTSC
m1zryzd0,Aerobiz Supersonic,JPN / NTSC
ldejkx13,AeroGauge,USA / NTSC
ldejkx13,AeroGauge,EUR / PAL
ldejkx13,AeroGauge,JPN / NTSC
268e3ko6,Aerostar,USA / NTSC
9dowvpm1,Aery - Little Bird Adventure,USA / NTSC
9dog3m6p,Affordable Space Adventures,USA / NTSC
9dog3m6p,Affordable Space Adventures,EUR / PAL
9dog3m6p,Affordable Space Adventures,JPN / NTSC
w6jlkz5d,AFL Evolution 2,USA / NTSC
w6jlkz5d,AFL Evolution 2,EUR / PAL
w6jlkz5d,AFL Evolution 2,JPN / NTSC
w6jlkz5d,AFL Evolution 2,CHN / PAL
w6jlkz5d,AFL Evolution 2,KOR / NTSC
w6jlkz5d,AFL Evolution 2,BRA / PAL
46w224q6,After Armageddon Gaiden: Majuu Toushouden Eclipse,USA / NTSC
46w224q6,After Armageddon Gaiden: Majuu Toushouden Eclipse,EUR / PAL
46w224q6,After Armageddon Gaiden: Majuu Toushouden Eclipse,JPN / NTSC
46w224q6,After Armageddon Gaiden: Majuu Toushouden Eclipse,CHN / PAL
46w224q6,After Armageddon Gaiden: Majuu Toushouden Eclipse,KOR / NTSC
46w224q6,After Armageddon Gaiden: Majuu Toushouden Eclipse,BRA / PAL
pdv22m96,After the War,USA / NTSC
pdv22m96,After the War,EUR / PAL
pdv22m96,After the War,JPN / NTSC
pdv22m96,After the War,CHN / PAL
pdv22m96,After the War,KOR / NTSC
pdv22m96,After the War,BRA / PAL
j1nejmx1,Against The Elements,USA / NTSC
j1nejmx1,Against The Elements,EUR / PAL
